manufacturers_id	color_category	color_name
1	Momeni Custom	BEIGE	
1	Momeni Custom	L.BLUE	
1	Momeni Custom	COPPER	
1	Momeni Custom	SEAFOAM	
1	Momeni Custom	TEAL	
2	Momeni Custom	BLUE	
2	Momeni Custom	BURGUNDY	
2	Momeni Custom	BEIGE	
2	Momeni Custom	BROWN	
2	Momeni Custom	L.BLUE	
2	Momeni Custom	IVORY	
2	Momeni Custom	RED	
3	Momeni Custom	CHARCOAL	
3	Momeni Custom	EARTH	
3	Momeni Custom	TAUPE	
3	Momeni Custom	BROWN	
3	Momeni Custom	MULTI	
3	Momeni Custom	SAND	
3	Momeni Custom	OLIVE	
3	Momeni Custom	TEAL	
3	Momeni Custom	GREY	
3	Momeni Custom	ORANGE	
4	Momeni Custom	BLUE	
4	Momeni Custom	MULTI	
4	Momeni Custom	L.BLUE	
4	Momeni Custom	SAND	
5	Momeni Custom	CHARCOAL	
5	Momeni Custom	OATMEAL	
5	Momeni Custom	PLUM	
5	Momeni Custom	BROWN	
5	Momeni Custom	GRASS	
5	Momeni Custom	BLUE	
6	Momeni Custom	IVORY	
6	Momeni Custom	MULTI	
6	Momeni Custom	BLACK	
6	Momeni Custom	BROWN	
6	Momeni Custom	BURGUNDY	
6	Momeni Custom	GREY	
6	Momeni Custom	WHEAT	
7	Momeni Custom	AQU BLUE	
7	Momeni Custom	BEIGE	
7	Momeni Custom	BROWN	
7	Momeni Custom	CANARY	
7	Momeni Custom	CINNABAR	
7	Momeni Custom	EBONY	
7	Momeni Custom	FIG	
7	Momeni Custom	IVORY	
7	Momeni Custom	LIME	
7	Momeni Custom	MINT GREEN	
7	Momeni Custom	NAVY	
7	Momeni Custom	OATMEAL	
7	Momeni Custom	OLIVE GRN	
7	Momeni Custom	PEACOCK	
7	Momeni Custom	PINK	
7	Momeni Custom	RED	
7	Momeni Custom	RUST	
7	Momeni Custom	STEEL	
8	Momeni Custom	COCOA	
8	Momeni Custom	BLACK	
8	Momeni Custom	IVORY	
8	Momeni Custom	MULTI	
8	Momeni Custom	SAGE	
8	Momeni Custom	CHARCOAL	
8	Momeni Custom	BROWN	
8	Momeni Custom	SALMON	
8	Momeni Custom	TEAL BLUE	
8	Momeni Custom	BURGUNDY	
9	Momeni Custom	NATURAL	
10	Momeni Custom	BROWN	
10	Momeni Custom	PAPRIKA	
10	Momeni Custom	SLATE	
10	Momeni Custom	MULTI	
10	Momeni Custom	CAMEL	
10	Momeni Custom	RUST	
10	Momeni Custom	FOREST GRE	
10	Momeni Custom	LAGOON	
10	Momeni Custom	PLUM	
10	Momeni Custom	SAGE	
10	Momeni Custom	SAND	
11	Momeni Custom	BEIGE	
11	Momeni Custom	BROWN	
11	Momeni Custom	GREY	
11	Momeni Custom	GOLD	
11	Momeni Custom	BLACK	
11	Momeni Custom	TAUPE	
11	Momeni Custom	MULTI	
11	Momeni Custom	GREEN	
11	Momeni Custom	PAPRIKA	
11	Momeni Custom	SILVER	
11	Momeni Custom	MOCHA	
11	Momeni Custom	RED	
12	Momeni Custom	BROWN	
12	Momeni Custom	RED	
12	Momeni Custom	BEIGE	
12	Momeni Custom	L.BLUE	
12	Momeni Custom	MULTI	
12	Momeni Custom	IVORY	
12	Momeni Custom	CHARCOAL	
13	Momeni Custom	CHARCOAL	
13	Momeni Custom	BLACK	
13	Momeni Custom	GREEN	
13	Momeni Custom	PAPRIKA	
13	Momeni Custom	CHOCOLATE	
13	Momeni Custom	MUSHROOM	
14	Momeni Custom	MULTI	
14	Momeni Custom	IVORY	
14	Momeni Custom	BLACK	
14	Momeni Custom	BROWN	
14	Momeni Custom	SAGE	
14	Momeni Custom	GREY	
14	Momeni Custom	BURGUNDY	
14	Momeni Custom	CHARCOAL	
14	Momeni Custom	GOLD	
15	Momeni Custom	DENIM	
15	Momeni Custom	BROWN	
15	Momeni Custom	SAND	
15	Momeni Custom	PAPRIKA	
15	Momeni Custom	MULTI	
15	Momeni Custom	CARBON	
15	Momeni Custom	RED	
15	Momeni Custom	GREEN	
15	Momeni Custom	CHARCOAL	
15	Momeni Custom	BEIGE	
15	Momeni Custom	GOLD	
15	Momeni Custom	GRASS	
15	Momeni Custom	LAGOON	
15	Momeni Custom	PURPLE	
15	Momeni Custom	SAGE	
15	Momeni Custom	TANGERINE	
15	Momeni Custom	OATMEAL	
15	Momeni Custom	WHEAT	
15	Momeni Custom	COPPER	
15	Momeni Custom	BLUE	
15	Momeni Custom	RUST	
16	Momeni Custom	BLACK	
16	Momeni Custom	IVORY	
16	Momeni Custom	PLUM	
16	Momeni Custom	SAGE	
16	Momeni Custom	BLUE	
16	Momeni Custom	BURGUNDY	
16	Momeni Custom	ROSE	
16	Momeni Custom	BRICK	
16	Momeni Custom	LT.BROWN	
16	Momeni Custom	BEIGE	
16	Momeni Custom	BROWN	
16	Momeni Custom	RED	
16	Momeni Custom	ROYAL BLUE	
16	Momeni Custom	COCOA	
16	Momeni Custom	ICE BLUE	
16	Momeni Custom	MINT	
16	Momeni Custom	RUST	
17	Momeni Custom	BROWN	
17	Momeni Custom	IVORY	
17	Momeni Custom	BLACK	
17	Momeni Custom	CREAM	
17	Momeni Custom	PEACOCK	
17	Momeni Custom	BLUE	
17	Momeni Custom	CHOCOLATE	
17	Momeni Custom	RED	
17	Momeni Custom	GOLD	
17	Momeni Custom	DENIM	
18	Momeni Custom	BROWN	
18	Momeni Custom	CAMEL	
18	Momeni Custom	IVORY	
18	Momeni Custom	SKY BLUE	
19	Momeni Custom	RUST	
19	Momeni Custom	BEIGE	
19	Momeni Custom	SEAFOAM	
19	Momeni Custom	LT.BROWN	
19	Momeni Custom	SAND	
19	Momeni Custom	TEAL	
19	Momeni Custom	EARTH	
19	Momeni Custom	SAGE	
20	Momeni Custom	BLACK	
20	Momeni Custom	RED	
20	Momeni Custom	BEIGE	
20	Momeni Custom	BROWN	
20	Momeni Custom	MULTI	
20	Momeni Custom	GREY	
20	Momeni Custom	CHARTREUSE	
20	Momeni Custom	TEAL	
20	Momeni Custom	IVORY	
21	Momeni Custom	FOLIAGE	
21	Momeni Custom	LEAF	
21	Momeni Custom	SUNSET	
21	Momeni Custom	SAND	
21	Momeni Custom	AUTUMN	
21	Momeni Custom	STORM	
22	Momeni Custom	BLACK	
22	Momeni Custom	BEIGE	
22	Momeni Custom	RED	
22	Momeni Custom	BLUE	
23	Momeni Custom	BABY BLUE	
23	Momeni Custom	SOFT PINK	
23	Momeni Custom	PALE YELLOW	
23	Momeni Custom	BLUE	
23	Momeni Custom	MULTI	
24	Momeni Custom	STEEL BLUE	
24	Momeni Custom	SKY	
24	Momeni Custom	GRASS	
24	Momeni Custom	TOWN	
24	Momeni Custom	LADY BUG RED	
24	Momeni Custom	ARCADE BLACK	
24	Momeni Custom	HONEYCOMB GOLD	
24	Momeni Custom	MULTI BALLOONS	
24	Momeni Custom	GREY	
24	Momeni Custom	IVORY	
24	Momeni Custom	BLACK	
24	Momeni Custom	BLUE	
24	Momeni Custom	MULTI	
24	Momeni Custom	DENIM	
24	Momeni Custom	CONCRETE	
25	Momeni Custom	SURF	
25	Momeni Custom	BLACK	
25	Momeni Custom	IVORY	
25	Momeni Custom	BLUE	
25	Momeni Custom	ARMY GREEN	
25	Momeni Custom	CONCRETE	
25	Momeni Custom	LILAC	
25	Momeni Custom	MULTI	
25	Momeni Custom	FUNKY	
25	Momeni Custom	SUPERSTAR	
25	Momeni Custom	GREY	
26	Momeni Custom	APPLE GREEN	
26	Momeni Custom	BRICK	
26	Momeni Custom	BROWN	
26	Momeni Custom	CARBON	
26	Momeni Custom	CHAMPAGNE	
26	Momeni Custom	GREY	
26	Momeni Custom	L.BLUE	
26	Momeni Custom	LIGHT TAUPE	
26	Momeni Custom	SAGE	
26	Momeni Custom	TANGERINE	
27	Momeni Custom	BLACK	
27	Momeni Custom	BURGUNDY	
27	Momeni Custom	GREY	
27	Momeni Custom	OLIVE GRN	
27	Momeni Custom	AUBERGINE	
27	Momeni Custom	GOLD	
27	Momeni Custom	BLUE	
27	Momeni Custom	GREEN	
27	Momeni Custom	IVORY	
27	Momeni Custom	COFFEE	
27	Momeni Custom	AQU BLUE	
27	Momeni Custom	RED	
27	Momeni Custom	SAGE	
27	Momeni Custom	EBONY	
27	Momeni Custom	BEIGE	
27	Momeni Custom	PLUM	
27	Momeni Custom	L.BLUE	
27	Momeni Custom	SLATE	
28	Momeni Custom	RED	
28	Momeni Custom	MULTI	
28	Momeni Custom	IVORY	
28	Momeni Custom	BLACK	
28	Momeni Custom	GOLD	
28	Momeni Custom	L.GRN	
28	Momeni Custom	LAVENDER	
28	Momeni Custom	MAHOGANY	
28	Momeni Custom	BARK	
28	Momeni Custom	L.BLUE	
28	Momeni Custom	BEIGE	
28	Momeni Custom	RUST	
28	Momeni Custom	GARNET	
28	Momeni Custom	BROWN	
29	Momeni Custom	BROWN	
29	Momeni Custom	BEIGE	
29	Momeni Custom	BURGUNDY	
29	Momeni Custom	KHAKI	
29	Momeni Custom	L.BLUE	
29	Momeni Custom	FOREST GRE	
29	Momeni Custom	GREEN	
29	Momeni Custom	LT.BROWN	
29	Momeni Custom	MIDNIGHT B	
29	Momeni Custom	PAPRIKA	
29	Momeni Custom	PLUM	
29	Momeni Custom	TAUPE	
29	Momeni Custom	LILAC	
29	Momeni Custom	OATMEAL	
29	Momeni Custom	SAGE	
29	Momeni Custom	IVORY	
30	Momeni Custom	BLACK	
30	Momeni Custom	COCOA	
30	Momeni Custom	IVORY	
30	Momeni Custom	SAGE	
30	Momeni Custom	SALMON	
31	Momeni Custom	BEIGE	
31	Momeni Custom	BLACK	
31	Momeni Custom	BLUE	
31	Momeni Custom	BURGUNDY	
31	Momeni Custom	MULTI	
31	Momeni Custom	GOLD	
31	Momeni Custom	OLIVE GRN	
31	Momeni Custom	IVORY	
31	Momeni Custom	WHITE	
31	Momeni Custom	POMEGRANAT	
31	Momeni Custom	BROWN	
31	Momeni Custom	SAGE	
31	Momeni Custom	TAUPE	
31	Momeni Custom	CHEETAH	
31	Momeni Custom	CHOCOLATE	
31	Momeni Custom	CONFETTI	
31	Momeni Custom	EARTH	
31	Momeni Custom	PURPLE	
31	Momeni Custom	MUSHROOM	
31	Momeni Custom	STEEL	
31	Momeni Custom	SPICE	
31	Momeni Custom	CONCRETE	
31	Momeni Custom	GOTHAM	
31	Momeni Custom	NAVY	
31	Momeni Custom	SAND	
31	Momeni Custom	CLASSIC	
31	Momeni Custom	CHARCOAL	
31	Momeni Custom	WINE	
31	Momeni Custom	GREEN	
31	Momeni Custom	LT.BROWN	
31	Momeni Custom	PASTEL	
31	Momeni Custom	PLUM	
31	Momeni Custom	GREY	
31	Momeni Custom	PINK	
31	Momeni Custom	TEAL	
31	Momeni Custom	RED	
31	Momeni Custom	NATURAL	
31	Momeni Custom	ORANGE	
31	Momeni Custom	RUST	
31	Momeni Custom	LAVENDER	
31	Momeni Custom	TURQUOISE	
31	Momeni Custom	COPPER	
31	Momeni Custom	L.BLUE	
31	Momeni Custom	MOCHA	
32	Momeni Custom	BLACK	
32	Momeni Custom	BURGUNDY	
32	Momeni Custom	IVORY	
32	Momeni Custom	MOCHA	
32	Momeni Custom	BROWN	
32	Momeni Custom	MULTI	
33	Momeni Custom	BEIGE	
33	Momeni Custom	BLACK	
33	Momeni Custom	BURGUNDY	
33	Momeni Custom	GOLD	
33	Momeni Custom	ROSE	
33	Momeni Custom	MULTI	
33	Momeni Custom	SAGE	
33	Momeni Custom	IVORY	
34	Momeni Custom	BURGUNDY	
34	Momeni Custom	COCOA	
34	Momeni Custom	IVORY	
34	Momeni Custom	SALMON	
34	Momeni Custom	TEAL BLUE	
34	Momeni Custom	CHARCOAL	
34	Momeni Custom	SAGE	
34	Momeni Custom	MULTI	
34	Momeni Custom	BLACK	
35	Momeni Custom	SLATE	
35	Momeni Custom	CARBON	
36	Momeni Custom	BROWN	
36	Momeni Custom	RED	
36	Momeni Custom	SLATE	
36	Momeni Custom	BLACK	
36	Momeni Custom	IVORY	
37	Momeni Custom	BROWN	
37	Momeni Custom	GOLD	
37	Momeni Custom	LIGHT TAUPE	
37	Momeni Custom	CHARCOAL	
37	Momeni Custom	SAND	
38	Momeni Custom	CHEETAH	
38	Momeni Custom	CAMEL	
38	Momeni Custom	APPLE	
38	Momeni Custom	COPPER	
38	Momeni Custom	ICE	
38	Momeni Custom	GIRAFFE	
38	Momeni Custom	TEAL	
38	Momeni Custom	TIGER	
38	Momeni Custom	ZEBRA	
38	Momeni Custom	SAND	
38	Momeni Custom	ALLIGATOR	
38	Momeni Custom	BEIGE	
38	Momeni Custom	EARTH	
39	Momeni Custom	MULTI	
39	Momeni Custom	BEIGE	
40	Momeni Custom	CHARCOAL	
40	Momeni Custom	IVORY	
40	Momeni Custom	STONE	
40	Momeni Custom	BEIGE	
40	Momeni Custom	EARTH	
41	Momeni Custom	SAGE	
41	Momeni Custom	BEIGE	
41	Momeni Custom	BROWN	
41	Momeni Custom	IVORY	
41	Momeni Custom	WHITE	
41	Momeni Custom	BLACK	
41	Momeni Custom	BLUE	
41	Momeni Custom	BRICK	
42	Momeni Custom	BROWN	
42	Momeni Custom	CHARCOAL	
42	Momeni Custom	TAUPE	
42	Momeni Custom	CAMEL	
42	Momeni Custom	SLATE	
42	Momeni Custom	SAND	
42	Momeni Custom	TEAL	
43	Momeni Custom	SAND	
43	Momeni Custom	CORAL	
43	Momeni Custom	LILAC	
43	Momeni Custom	GOLD	
43	Momeni Custom	BLUE	
43	Momeni Custom	TERRA COTT	
43	Momeni Custom	BROWN	
43	Momeni Custom	BRICK	
43	Momeni Custom	OATMEAL	
43	Momeni Custom	RASPBERRY	
44	Momeni Custom	BEIGE	
44	Momeni Custom	GARNET	
44	Momeni Custom	Pumice Stone	
44	Momeni Custom	GRASS	
44	Momeni Custom	NEUTRAL	
45	Momeni Custom	CAMEL	
45	Momeni Custom	BEIGE	
45	Momeni Custom	BLUE	
45	Momeni Custom	MULTI	
45	Momeni Custom	JADE	
45	Momeni Custom	PAPRIKA	
45	Momeni Custom	BROWN	
45	Momeni Custom	IVORY	
45	Momeni Custom	SAGE	
45	Momeni Custom	LT.BROWN	
46	Momeni Custom	BEIGE	
46	Momeni Custom	MULTI	
47	Momeni Custom	BROWN	
47	Momeni Custom	SPICE	
47	Momeni Custom	BRICK	
47	Momeni Custom	BLUE	
47	Momeni Custom	BEIGE	
48	Momeni Custom	BROWN	
48	Momeni Custom	SAGE	
48	Momeni Custom	SAND	
48	Momeni Custom	SEAFOAM	
48	Momeni Custom	MULTI	
49	Momeni Custom	BROWN MULTI	
49	Momeni Custom	MULTI	
49	Momeni Custom	IVORY	
49	Momeni Custom	CHARCOAL	
50	Momeni Custom	INDIGO	
50	Momeni Custom	OMBRE	
50	Momeni Custom	L.BLUE	
50	Momeni Custom	RASPBERRY	
50	Momeni Custom	MULTI	
50	Momeni Custom	SUNSET	
50	Momeni Custom	GRASS	
50	Momeni Custom	SAND	
50	Momeni Custom	CHARCOAL	
50	Momeni Custom	TRIBAL GOLD	
51	Momeni Custom	OLIVE GRN	
51	Momeni Custom	BURGUNDY	
51	Momeni Custom	IVORY	
51	Momeni Custom	MOSS GREEN	
51	Momeni Custom	GREEN	
51	Momeni Custom	MOCHA	
51	Momeni Custom	BROWN	
51	Momeni Custom	BEIGE	
51	Momeni Custom	MULTI	
51	Momeni Custom	SAGE	
51	Momeni Custom	WINE	
51	Momeni Custom	SAND	
51	Momeni Custom	EARTH	
51	Momeni Custom	CREAM	
51	Momeni Custom	LIME	
51	Momeni Custom	MARITIME BLUE	
51	Momeni Custom	RED	
51	Momeni Custom	TANGERINE	
51	Momeni Custom	STEEL GREY	
51	Momeni Custom	TAUPE	
51	Momeni Custom	BLUE	
51	Momeni Custom	GRASS	
51	Momeni Custom	YELLOW	
52	Momeni Custom	RUST	
52	Momeni Custom	SEAFOAM	
52	Momeni Custom	BROWN	
52	Momeni Custom	COBALT	
52	Momeni Custom	GREY	
52	Momeni Custom	SLATE	
52	Momeni Custom	BEIGE	
52	Momeni Custom	AUBERGINE	
52	Momeni Custom	MAGENTA	
52	Momeni Custom	OLIVE	
52	Momeni Custom	COPPER	
52	Momeni Custom	SAGE	
53	Momeni Custom	GOLD	
53	Momeni Custom	CHARCOAL	
53	Momeni Custom	MOCHA	
53	Momeni Custom	STONE	
53	Momeni Custom	ALMOND	
53	Momeni Custom	BLUE	
53	Momeni Custom	JADE	
53	Momeni Custom	SPICE	
53	Momeni Custom	POMEGRANAT